Event_id,Episode,Radius,Population
1449220,1597941,Radius,Population
1449220,1597941,100 km,4600 people
1449220,1597941,75 km,no people
1449220,1597941,50 km,no people
1449220,1597941,20 km,no people
1449220,1597941,10 km,no people
1449220,1597941,5 km,no people
1449220,1597941,2 km,no people
1449223,1597944,Radius,Population
1449223,1597944,100 km,no people
1449223,1597944,75 km,no people
1449223,1597944,50 km,no people
1449223,1597944,20 km,no people
1449223,1597944,10 km,no people
1449223,1597944,5 km,no people
1449223,1597944,2 km,no people
1449230,1597953,Radius,Population
1449230,1597953,100 km,3.1 million people
1449230,1597953,75 km,400000 people
1449230,1597953,50 km,250000 people
1449230,1597953,20 km,210000 people
1449230,1597953,10 km,180000 people
1449230,1597953,5 km,130000 people
1449230,1597953,2 km,24000 people
1449263,1597993,Radius,Population
1449263,1597993,100 km,no people
1449263,1597993,75 km,no people
1449263,1597993,50 km,no people
1449263,1597993,20 km,no people
1449263,1597993,10 km,no people
1449263,1597993,5 km,no people
1449263,1597993,2 km,no people
1449270,1598111,Radius,Population
1449270,1598111,100 km,no people
1449270,1598111,75 km,no people
1449270,1598111,50 km,no people
1449270,1598111,20 km,no people
1449270,1598111,10 km,no people
1449270,1598111,5 km,no people
1449270,1598111,2 km,no people
1449293,1598028,Radius,Population
1449293,1598028,100 km,no people
1449293,1598028,75 km,no people
1449293,1598028,50 km,no people
1449293,1598028,20 km,no people
1449293,1598028,10 km,no people
1449293,1598028,5 km,no people
1449293,1598028,2 km,no people
1449294,1598030,Radius,Population
1449294,1598030,100 km,no people
1449294,1598030,75 km,no people
1449294,1598030,50 km,no people
1449294,1598030,20 km,no people
1449294,1598030,10 km,no people
1449294,1598030,5 km,no people
1449294,1598030,2 km,no people
1449314,1598055,Radius,Population
1449314,1598055,100 km,390000 people
1449314,1598055,75 km,59000 people
1449314,1598055,50 km,52000 people
1449314,1598055,20 km,3300 people
1449314,1598055,10 km,<1000 people
1449314,1598055,5 km,<1000 people
1449314,1598055,2 km,<1000 people
1449326,1598070,Radius,Population
1449326,1598070,100 km,14000 people
1449326,1598070,75 km,1700 people
1449326,1598070,50 km,no people
1449326,1598070,20 km,no people
1449326,1598070,10 km,no people
1449326,1598070,5 km,no people
1449326,1598070,2 km,no people
1449336,1598085,Radius,Population
1449336,1598085,100 km,38.1 million people
1449336,1598085,75 km,32.6 million people
1449336,1598085,50 km,14.6 million people
1449336,1598085,20 km,1.5 million people
1449336,1598085,10 km,410000 people
1449336,1598085,5 km,74000 people
1449336,1598085,2 km,8500 people
1449342,1598089,Radius,Population
1449342,1598089,100 km,44000 people
1449342,1598089,75 km,42000 people
1449342,1598089,50 km,13000 people
1449342,1598089,20 km,no people
1449342,1598089,10 km,no people
1449342,1598089,5 km,no people
1449342,1598089,2 km,no people
1449346,1598095,Radius,Population
1449346,1598095,100 km,8 million people
1449346,1598095,75 km,2.9 million people
1449346,1598095,50 km,900000 people
1449346,1598095,20 km,120000 people
1449346,1598095,10 km,34000 people
1449346,1598095,5 km,5600 people
1449346,1598095,2 km,1100 people
1449347,1598114,Radius,Population
1449347,1598114,100 km,1.7 million people
1449347,1598114,75 km,600000 people
1449347,1598114,50 km,230000 people
1449347,1598114,20 km,1700 people
1449347,1598114,10 km,no people
1449347,1598114,5 km,no people
1449347,1598114,2 km,no people
1449348,1598099,Radius,Population
1449348,1598099,100 km,2.3 million people
1449348,1598099,75 km,1.2 million people
1449348,1598099,50 km,390000 people
1449348,1598099,20 km,140000 people
1449348,1598099,10 km,50000 people
1449348,1598099,5 km,17000 people
1449348,1598099,2 km,4400 people
1449354,1598106,Radius,Population
1449354,1598106,100 km,6.4 million people
1449354,1598106,75 km,4.8 million people
1449354,1598106,50 km,3.5 million people
1449354,1598106,20 km,1.8 million people
1449354,1598106,10 km,480000 people
1449354,1598106,5 km,200000 people
1449354,1598106,2 km,34000 people
1449362,1598125,Radius,Population
1449362,1598125,100 km,no people
1449362,1598125,75 km,no people
1449362,1598125,50 km,no people
1449362,1598125,20 km,no people
1449362,1598125,10 km,no people
1449362,1598125,5 km,no people
1449362,1598125,2 km,no people
1449364,1598126,Radius,Population
1449364,1598126,100 km,410000 people
1449364,1598126,75 km,240000 people
1449364,1598126,50 km,33000 people
1449364,1598126,20 km,4800 people
1449364,1598126,10 km,2900 people
1449364,1598126,5 km,<1000 people
1449364,1598126,2 km,no people
1449369,1598127,Radius,Population
1449369,1598127,100 km,8.1 million people
1449369,1598127,75 km,2.9 million people
1449369,1598127,50 km,1.4 million people
1449369,1598127,20 km,280000 people
1449369,1598127,10 km,23000 people
1449369,1598127,5 km,3100 people
1449369,1598127,2 km,<1000 people
1449395,1598167,Radius,Population
1449395,1598167,100 km,720000 people
1449395,1598167,75 km,300000 people
1449395,1598167,50 km,4100 people
1449395,1598167,20 km,<1000 people
1449395,1598167,10 km,no people
1449395,1598167,5 km,no people
1449395,1598167,2 km,no people
1449402,1598177,Radius,Population
1449402,1598177,100 km,78000 people
1449402,1598177,75 km,no people
1449402,1598177,50 km,no people
1449402,1598177,20 km,no people
1449402,1598177,10 km,no people
1449402,1598177,5 km,no people
1449402,1598177,2 km,no people
1449406,1598183,Radius,Population
1449406,1598183,100 km,280000 people
1449406,1598183,75 km,110000 people
1449406,1598183,50 km,13000 people
1449406,1598183,20 km,no people
1449406,1598183,10 km,no people
