Event_id,Episode,Name,LOCODE,Country,Distance
1449230,1597953,Hualien,TWHUN,Taiwan,3 km
1449230,1597953,Suao,TWSUO,Taiwan,75 km
1449263,1597993,Kiska Island,,Wake Island,41 km
1449263,1597993,Amchitka Island,,Wake Island,75 km
1449263,1597993,Constantine Harbour,,Wake Island,99 km
1449314,1598055,Iquique,CLIQQ,Chile,86 km
1449336,1598085,Goi,JPGOI,Japan,7 km
1449336,1598085,Chiba,JPCHB,Japan,12 km
1449336,1598085,Anegasaki,JPANE,Japan,13 km
1449336,1598085,Katunan Ko,,Japan,26 km
1449336,1598085,Kisarazu,JPKZU,Japan,26 km
1449336,1598085,Kawasaki,JPKWS,Japan,37 km
1449336,1598085,Ogasawara,JPOGA,Japan,39 km
1449336,1598085,Katsuura Ko,,Japan,42 km
1449336,1598085,Tokyo,JPTYO,Japan,44 km
1449336,1598085,Yokohama,JPYOK,Japan,49 km
1449336,1598085,Neghisi,JPNGI,Japan,50 km
1449336,1598085,Yokosuka,JPYOS,Japan,53 km
1449336,1598085,Kurihama,JPKRH,Japan,54 km
1449336,1598085,Tateyama,JPTTY,Japan,64 km
1449336,1598085,Kashima,JPKSM,Japan,65 km
1449336,1598085,Choshi,JPCHO,Japan,65 km
1449346,1598095,Playa Grande,,Guatemala,32 km
1449346,1598095,San Jose,GTSJO,Guatemala,49 km
1449346,1598095,San Jose,GTSJO,Guatemala,49 km
1449346,1598095,Puerto Quetzail,GTPRQ,Guatemala,53 km
1449346,1598095,Champerico,GTCHR,Guatemala,76 km
1449347,1598114,Hualien,TWHUN,Taiwan,28 km
1449347,1598114,Suao,TWSUO,Taiwan,51 km
1449348,1598099,Tandag,,Philippines,13 km
1449348,1598099,Aras Asan,,Philippines,13 km
1449348,1598099,Lamon Anchorage,,Philippines,58 km
1449348,1598099,Hinatuan,,Philippines,68 km
1449348,1598099,Butuan,,Philippines,76 km
1449348,1598099,Bislig / Mindanao,PHBPH,Philippines,88 km
1449348,1598099,Dapa,,Philippines,88 km
