Event_id,Episode,Radius,Population
1022604,17,Radius,Population
1022604,17,10 km,<1000 people
1022604,17,5 km,no people
1022604,17,2 km,no people
1022604,17,1 km,no people
1022604,17,Burned Area,no people
1022607,14,Radius,Population
1022607,14,10 km,<1000 people
1022607,14,5 km,<1000 people
1022607,14,2 km,<1000 people
1022607,14,1 km,<1000 people
1022607,14,Burned Area,<1000 people
1022612,10,Radius,Population
1022612,10,10 km,no people
1022612,10,5 km,no people
1022612,10,2 km,no people
1022612,10,1 km,no people
1022612,10,Burned Area,no people
1022617,12,Radius,Population
1022617,12,10 km,no people
1022617,12,5 km,no people
1022617,12,2 km,no people
1022617,12,1 km,no people
1022617,12,Burned Area,no people
1022619,15,Radius,Population
1022619,15,10 km,<1000 people
1022619,15,5 km,no people
1022619,15,2 km,no people
1022619,15,1 km,no people
1022619,15,Burned Area,no people
1022620,14,Radius,Population
1022620,14,10 km,no people
1022620,14,5 km,no people
1022620,14,2 km,no people
1022620,14,1 km,no people
1022620,14,Burned Area,no people
1022626,16,Radius,Population
1022626,16,10 km,no people
1022626,16,5 km,no people
1022626,16,2 km,no people
1022626,16,1 km,no people
1022626,16,Burned Area,no people
1022629,10,Radius,Population
1022629,10,10 km,no people
1022629,10,5 km,no people
1022629,10,2 km,no people
1022629,10,1 km,no people
1022629,10,Burned Area,no people
1022631,14,Radius,Population
1022631,14,10 km,no people
1022631,14,5 km,no people
1022631,14,2 km,no people
1022631,14,1 km,no people
1022631,14,Burned Area,no people
1022633,13,Radius,Population
1022633,13,10 km,<1000 people
1022633,13,5 km,<1000 people
1022633,13,2 km,<1000 people
1022633,13,1 km,<1000 people
1022633,13,Burned Area,no people
1022637,14,Radius,Population
1022637,14,10 km,no people
1022637,14,5 km,no people
1022637,14,2 km,no people
1022637,14,1 km,no people
1022637,14,Burned Area,no people
1022640,9,Radius,Population
1022640,9,10 km,<1000 people
1022640,9,5 km,<1000 people
1022640,9,2 km,<1000 people
1022640,9,1 km,<1000 people
1022640,9,Burned Area,no people
1022641,8,Radius,Population
1022641,8,10 km,no people
1022641,8,5 km,no people
1022641,8,2 km,no people
1022641,8,1 km,no people
1022641,8,Burned Area,no people
1022642,5,Radius,Population
1022642,5,10 km,<1000 people
1022642,5,5 km,<1000 people
1022642,5,2 km,<1000 people
1022642,5,1 km,<1000 people
1022642,5,Burned Area,<1000 people
1022647,12,Radius,Population
1022647,12,10 km,8200 people
1022647,12,5 km,5300 people
1022647,12,2 km,<1000 people
1022647,12,1 km,<1000 people
1022647,12,Burned Area,<1000 people
1022648,10,Radius,Population
1022648,10,10 km,<1000 people
1022648,10,5 km,no people
1022648,10,2 km,no people
1022648,10,1 km,no people
1022648,10,Burned Area,no people
1022649,10,Radius,Population
1022649,10,10 km,no people
1022649,10,5 km,no people
1022649,10,2 km,no people
1022649,10,1 km,no people
1022649,10,Burned Area,no people
1022650,9,Radius,Population
1022650,9,10 km,<1000 people
1022650,9,5 km,<1000 people
1022650,9,2 km,<1000 people
1022650,9,1 km,<1000 people
1022650,9,Burned Area,<1000 people
1022652,17,Radius,Population
1022652,17,10 km,<1000 people
1022652,17,5 km,<1000 people
1022652,17,2 km,<1000 people
1022652,17,1 km,<1000 people
1022652,17,Burned Area,no people
1022654,4,Radius,Population
1022654,4,10 km,<1000 people
1022654,4,5 km,<1000 people
1022654,4,2 km,<1000 people
1022654,4,1 km,<1000 people
1022654,4,Burned Area,no people
1022657,3,Radius,Population
1022657,3,10 km,<1000 people
1022657,3,5 km,no people
1022657,3,2 km,no people
1022657,3,1 km,no people
1022657,3,Burned Area,no people
1022658,14,Radius,Population
1022658,14,10 km,no people
1022658,14,5 km,no people
1022658,14,2 km,no people
1022658,14,1 km,no people
1022658,14,Burned Area,no people
1022660,11,Radius,Population
1022660,11,10 km,no people
1022660,11,5 km,no people
1022660,11,2 km,no people
1022660,11,1 km,no people
1022660,11,Burned Area,no people
1022661,12,Radius,Population
1022661,12,10 km,<1000 people
1022661,12,5 km,<1000 people
1022661,12,2 km,<1000 people
1022661,12,1 km,<1000 people
