Event_id,Episode,Region_province,Country,Population
1000000,49,Sicilia,Italy,5.2 million people
1000002,1,Kamchatskaya oblast',Russian Federation,-
1000003,1,Sumatera Utara,Indonesia,9.3 million people
1000004,6,Jawa Tengah,Indonesia,30.7 million people
1000004,6,Yogyakarta,Indonesia,3.1 million people
1000005,1,Vanuatu,Vanuatu,170000 people
1000006,4,Nusa Tenggara Timur,Indonesia,3.5 million people
1000007,1,Jawa Timur,Indonesia,33 million people
1000008,1,Reunion,Miscellaneous (French) Indian Ocean Islands,640000 people
1000009,1,Hawaii,United States,1.2 million people
1000010,1,Escuintla,Guatemala,570000 people
1000010,1,Guatemala,Guatemala,2.2 million people
1000010,1,Sacatepequez,Guatemala,210000 people
1000010,1,Santa Rosa,Guatemala,330000 people
1000011,1,Escuintla,Guatemala,570000 people
1000011,1,Sacatepequez,Guatemala,210000 people
1000011,1,Chimaltenango,Guatemala,390000 people
1000011,1,Suchitepequez,Guatemala,410000 people
1000012,5,Southern Tagalog,Philippines,8.3 million people
1000013,3,Sumatera Utara,Indonesia,9.3 million people
1000014,5,Escuintla,Guatemala,570000 people
1000014,5,Guatemala,Guatemala,2.2 million people
1000014,5,Sacatepequez,Guatemala,210000 people
1000014,5,Santa Rosa,Guatemala,330000 people
1000015,1,Chinandega,Nicaragua,360000 people
1000015,1,Leon,Nicaragua,380000 people
1000016,1,Kyushu,Japan,13.3 million people
1000017,1,Morona-Santiago,Ecuador,93000 people
1000017,1,Chimborazo,Ecuador,400000 people
1000018,1,Reykjavik,Iceland,160000 people
1000018,1,Sudhurland,Iceland,23000 people
1000020,5,St. Vincent & the Grenadines,Saint Vincent and the Grenadines,110000 people
1000021,1,Calabria,Italy,2.2 million people
1000021,1,Sicilia,Italy,5.2 million people
1000021,1,Basilicata,Italy,630000 people
1000021,1,Campania,Italy,5.8 million people
1000021,1,Puglia,Italy,4.1 million people
1000021,1,Molise,Italy,340000 people
1000021,1,Lazio,Italy,5.2 million people
1000021,1,Malta,Malta,370000 people
1000021,1,Abruzzi,Italy,1.3 million people
1000021,1,Vlore,Albania,-
1000021,1,Fier,Albania,260000 people
1000021,1,Nabul,Tunisia,570000 people
1000021,1,Vatican City,Holy See (Vatican City State),<1000 people
1000021,1,Umbria,Italy,830000 people
1000021,1,Marche,Italy,1.4 million people
1000021,1,Croatia,Croatia,-
1000023,7,Kivu,"Congo, The Democratic Republic of the",7.2 million people
1000023,7,Gisenyi,Rwanda,810000 people
1000023,7,Ruhengeri,Rwanda,850000 people
1000024,1,Escuintla,Guatemala,570000 people
1000024,1,Sacatepequez,Guatemala,210000 people
1000024,1,Chimaltenango,Guatemala,390000 people
1000024,1,Suchitepequez,Guatemala,410000 people
1000025,1,Alaska,United States,570000 people
1000026,1,Escuintla,Guatemala,570000 people
1000026,1,Sacatepequez,Guatemala,210000 people
1000026,1,Chimaltenango,Guatemala,390000 people
1000026,1,Suchitepequez,Guatemala,410000 people
1000027,1,Jawa Tengah,Indonesia,30.7 million people
1000027,1,Yogyakarta,Indonesia,3.1 million people
1000028,1,Kyushu,Japan,13.3 million people
1000028,1,Okinawa,Japan,1.2 million people
1000028,1,Shikoku,Japan,4.3 million people
1000028,1,Chugoku,Japan,8 million people
1000029,1,Sumatera Utara,Indonesia,9.3 million people
1000030,1,Jawa Tengah,Indonesia,30.7 million people
1000030,1,Yogyakarta,Indonesia,3.1 million people
1000031,41,Canarias,Spain,790000 people
1000032,1,Hawaii,United States,1.2 million people
1000033,4,Madang,Papua New Guinea,250000 people
1000034,1,Sicilia,Italy,5.2 million people
1000034,1,Calabria,Italy,2.2 million people
1000034,1,Campania,Italy,5.8 million people
1000034,1,Basilicata,Italy,630000 people
1000034,1,Malta,Malta,370000 people
1000034,1,Puglia,Italy,4.1 million people
1000034,1,Molise,Italy,340000 people
1000034,1,Lazio,Italy,5.2 million people
1000034,1,Abruzzi,Italy,1.3 million people
1000034,1,Nabul,Tunisia,570000 people
1000034,1,Vatican City,Holy See (Vatican City State),<1000 people
1000035,5,Jawa Timur,Indonesia,33 million people
